Country Name,Country Code,IntUsrs2000,IntUsrs2001,IntUsrs2002,IntUsrs2003,IntUsrs2004,IntUsrs2005,IntUsrs2006,IntUsrs2007,IntUsrs2008,IntUsrs2009,IntUsrs2010,IntUsrs2011,IntUsrs2012,IntUsrs2013,IntUsrs2014
Afghanistan,AFG,..,0,0,0.1,0.1,1.2,2.1,1.9,1.8,3.6,4,5,5.5,5.9,6.4
Albania,ALB,0.1,0.3,0.4,1,2.4,6,9.6,15,23.9,41.2,45,49,54.7,57.2,60.1
Algeria,DZA,0.5,0.6,1.6,2.2,4.6,5.8,7.4,9.5,10.2,11.2,12.5,14,15.2,16.5,18.1
American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,ADO,10.5,..,11.3,13.5,26.8,37.6,48.9,70.9,70,78.5,81,81,86.4,94,95.9
Angola,AGO,0.1,0.1,0.3,0.4,0.5,1.1,1.9,3.2,4.6,6,10,14.8,16.9,19.1,21.3
Antigua and Barbuda,ATG,6.5,8.9,12.5,17.2,24.3,27,30,34,38,42,47,52,58,63.4,64
Argentina,ARG,7,9.8,10.9,11.9,16,17.7,20.9,25.9,28.1,34,45,51,55.8,59.9,64.7
Armenia,ARM,1.3,1.6,2,4.6,4.9,5.3,5.6,6,6.2,15.3,25,32,37.5,41.9,46.3
Aruba,ABW,15.4,17.1,18.8,20.8,23,25.4,28,30.9,52,58,62,69,74,78.9,83.8
Australia,AUS,46.8,52.7,..,..,..,63,66,69.5,71.7,74.3,76,79.5,79,83,84.6
Austria,AUT,33.7,39.2,36.6,42.7,54.3,58,63.6,69.4,72.9,73.5,75.2,78.7,80,80.6,81
Azerbaijan,AZE,0.1,0.3,5,..,..,8,12,14.5,17.1,27.4,46,50,54.2,58.7,61
"Bahamas, The",BHS,8,11.8,18,20,22,25,26,27,31.5,33.9,43,65,71.7,72,76.9
Bahrain,BHR,6.2,15,18.1,21.6,21.5,21.3,28.2,32.9,52,53,55,77,88,90,91
