"Course","Section","FYI","Grade","Days_Attended_Math_Gym","Quiz_Zero_Score"
150,1,0,"Missing",1,15
151,1,"Missing","W",6,8.25
150,9,0,"D",0,16
155,1,0,"B",4,15
251,1,0,"A",5,16
251,1,0,"F",0,10
152,14,0,"B",0,16.75
151,11,1,"W",1,13.5
152,1,"Missing","W",0,6
151,11,0,"B",4,0
152,14,0,"B",4,5.25
151,1,"Missing","F",1,15.75
150,1,0,"Missing",7,17
152,6,0,"B",24,5
152,6,0,"C",0,20
155,4,0,"D",2,12
155,4,0,"A",8,13
251,1,0,"B",0,19
150,13,0,"C",0,10
151,11,1,"F",1,8.5
152,14,0,"C",5,13.75
251,1,0,"B",1,10
152,6,0,"B",0,19
150,9,0,"Missing",6,18
150,5,"Missing","D",0,"Missing"
155,4,0,"A",10,12
155,1,0,"F",0,0
151,11,0,"B",1,16
155,4,"Missing","C",1,"Missing"
150,1,1,"Missing",0,15
152,6,0,"C",3,6
150,1,0,"Missing",1,24
152,1,"Missing","B",0,6
152,6,0,"I",0,2.75
152,14,0,"A",0,21
251,5,"Missing","A",0,25
155,4,0,"B",2,10
155,1,0,"D",0,11
152,6,0,"B",1,8.25
150,13,0,"B",0,12
150,5,0,"C",2,12
152,14,0,"A",8,19.75
155,4,0,"F",0,16
155,4,1,"W",0,13
152,6,0,"D",0,6
155,1,0,"C",1,13
151,6,0,"A",3,18.25
152,6,0,"A",4,15.5
155,1,1,"F",0,8
152,1,"Missing","C",0,"Missing"
150,5,1,"C",11,19
152,1,"Missing","D",1,14.5
152,14,0,"F",4,12.75
251,1,0,"A",0,22
152,6,0,"D",2,0
152,14,0,"B",4,10.75
152,6,0,"C",1,16
150,13,0,"F",0,0
152,1,"Missing","A",0,16.25
151,11,1,"F",0,15.25
152,14,0,"C",0,19
152,14,0,"C",0,19.25
152,6,0,"C",2,5.25
152,14,0,"F",2,8
152,14,0,"A",7,21
150,1,0,"Missing",0,17
151,1,"Missing","D",12,21.75
155,4,0,"B",10,6
151,1,"Missing","C",2,6
251,5,"Missing","A",0,16
151,11,"Missing","F",0,"Missing"
251,1,0,"D",1,1
251,1,0,"B",0,4
150,1,"Missing","Missing",2,"Missing"
150,9,0,"C",2,13
155,1,1,"F",1,14
151,1,"Missing","B",1,9.5
151,11,0,"D",4,17.75
152,6,0,"B",4,18.75
150,5,1,"F",0,15
152,14,0,"C",0,14.5
152,1,"Missing","A",1,14.25
152,1,"Missing","D",2,9.5
152,1,"Missing","W",0,0
151,11,1,"D",0,21.5
150,1,1,"Missing",5,15
152,1,"Missing","C",0,11
151,1,"Missing","B",0,24
155,1,0,"B",5,12
155,4,0,"D",5,14
155,4,0,"D",5,11
151,11,0,"A",6,16.25
152,6,0,"A",2,21.25
152,6,0,"C",3,13.75
155,1,0,"B",3,14
155,4,0,"F",3,7
151,1,"Missing","C",5,6
152,6,0,"A",0,18.5
150,9,"Missing","W",0,"Missing"
155,1,1,"C",4,15
151,6,0,"W",0,1
152,6,0,"F",0,0
152,1,"Missing","B",0,10.75
155,1,1,"C",9,13
152,14,0,"C",0,10
152,6,0,"B",1,21.75
151,1,"Missing","B",3,22
152,14,0,"F",0,17
155,4,0,"B",1,13
152,6,1,"B",6,11.75
155,4,0,"C",2,10
150,9,1,"W",0,10
152,1,"Missing","W",0,9.5
152,6,0,"D",4,6
152,14,0,"C",3,17.25
155,4,0,"C",2,11
152,1,"Missing","A",0,9.75
151,6,0,"B",7,20
150,1,1,"Missing",1,0
152,1,"Missing","D",1,10.25
251,1,0,"B",0,19
152,1,"Missing","D",0,5.5
251,5,"Missing","A",1,17
152,6,0,"W",1,14.5
151,1,"Missing","F",3,9.25
151,6,0,"B",20,6.75
251,5,"Missing","B",3,9
155,1,0,"B",8,16
152,1,"Missing","C",0,12.5
151,11,1,"C",1,21
155,1,0,"D",4,16
155,4,0,"B",15,15
152,1,"Missing","A",4,15
150,13,0,"B",0,16
155,1,1,"D",6,12
155,1,0,"C",1,17
152,6,0,"B",3,8
151,6,0,"A",5,9.75
152,6,0,"B",2,10.75
151,6,0,"D",0,9.25
155,4,0,"C",1,15
150,9,1,"F",0,21
152,6,0,"A",7,20
151,6,0,"B",1,15.75
150,1,1,"Missing",0,16
152,1,"Missing","A",6,21.25
155,1,1,"B",2,13
151,6,0,"B",1,23.5
251,5,"Missing","D",0,13
151,1,"Missing","C",6,7.5
151,6,"Missing","A",4,"Missing"
150,9,0,"D",0,17
151,11,0,"D",0,10.5
152,1,"Missing","A",2,13.25
151,1,"Missing","D",2,15.5
152,6,0,"D",0,9.25
151,6,0,"C",4,9
151,11,0,"B",2,14
152,1,"Missing","A",0,14.25
151,11,0,"B",6,16
150,9,1,"W",1,10
151,1,"Missing","A",1,24.5
151,1,"Missing","B",0,20.75
152,1,"Missing","A",2,15
155,1,0,"C",6,9
151,11,1,"W",0,6.5
155,4,0,"A",11,12
151,1,"Missing","D",5,11.75
152,1,"Missing","C",1,10.5
151,11,0,"B",1,15.5
155,4,0,"D",5,11
151,6,1,"C",10,23.75
152,6,0,"B",6,9.75
152,6,0,"C",3,17.25
151,1,"Missing","A",0,16.75
151,1,"Missing","F",0,9.5
152,6,0,"F",1,0
152,6,0,"C",6,7.75
152,6,0,"B",0,11.25
152,6,1,"F",6,3.75
155,1,0,"D",0,17
155,4,0,"D",9,9
251,1,0,"B",1,4
251,5,"Missing","A",1,13
151,1,"Missing","F",0,18.75
150,9,0,"C",4,12
150,13,0,"D",0,16
155,1,1,"F",6,9
152,14,0,"C",2,13.25
152,6,0,"A",2,11.75
150,5,0,"D",0,20
152,14,0,"C",2,14.25
151,1,"Missing","C",1,16.75
155,4,0,"B",1,17
155,4,0,"A",1,19
150,1,0,"Missing",0,17
251,1,0,"A",1,16
152,6,0,"B",4,18.75
155,1,"Missing","A",5,"Missing"
152,1,"Missing","A",0,19.75
150,9,0,"B",9,20
152,1,"Missing","C",0,16.75
150,9,0,"B",3,14
155,4,0,"B",0,14
151,1,"Missing","C",1,0
152,1,"Missing","D",0,9
155,4,0,"A",7,15
151,6,1,"W",0,7.5
152,6,0,"A",3,12.25
155,4,"Missing","C",1,"Missing"
152,6,0,"C",1,10
150,1,0,"Missing",2,17
151,11,1,"F",4,13.5
152,6,0,"A",1,21.5
151,11,0,"C",0,16.75
151,11,1,"C",2,8.75
150,5,0,"B",1,22
155,1,0,"B",6,10
251,1,0,"C",1,4
151,1,"Missing","C",1,10.5
151,11,0,"C",0,18.5
150,5,0,"C",0,18
150,9,0,"B",8,19
152,1,"Missing","B",0,22.75
152,6,0,"F",0,20
150,5,1,"F",4,9
151,6,0,"C",13,6.5
251,5,"Missing","Missing",1,16
150,9,0,"B",15,17
151,6,0,"D",3,7.25
152,14,0,"D",4,6.5
152,6,0,"A",0,23.5
151,11,1,"D",6,15.5
150,5,0,"C",2,19
151,11,1,"W",0,14.5
150,1,0,"Missing",4,17
151,6,0,"D",1,15.5
155,1,0,"A",7,14
152,14,0,"F",0,10
151,6,0,"F",2,7.5
150,1,0,"Missing",4,15
251,5,"Missing","A",4,10
150,9,0,"B",2,14
152,14,0,"F",1,11.5
152,1,"Missing","C",2,18.25
150,5,"Missing","W",0,"Missing"
152,1,"Missing","A",2,18.25
251,1,0,"A",8,22
151,1,"Missing","A",1,"Missing"
151,1,"Missing","A",1,17
151,11,0,"C",8,15
155,4,1,"F",1,11
150,9,0,"D",4,16
152,6,0,"A",3,0
151,6,0,"F",1,17.75
152,6,1,"W",0,0
152,1,"Missing","A",0,21.25
152,6,0,"B",0,13.25
150,9,1,"F",0,20
155,1,0,"A",0,15
152,1,"Missing","A",5,13.25
251,5,"Missing","B",0,13
155,1,0,"A",9,17
151,6,0,"C",0,14.5
152,6,0,"B",1,15.5
152,1,"Missing","C",0,14.5
251,1,0,"A",1,16
150,13,1,"C",0,17
151,6,0,"B",1,17.75
152,14,0,"A",0,24.5
151,1,"Missing","B",1,23.25
251,5,"Missing","A",0,25
152,6,0,"B",7,9.5
155,4,0,"I",0,13
150,13,1,"F",0,0
251,1,0,"F",0,0
155,1,1,"B",10,9
150,1,0,"Missing",9,16
155,1,0,"C",0,18
155,1,"Missing","W",0,"Missing"
151,1,"Missing","B",0,11.25
151,6,0,"D",2,18.75
152,14,0,"Missing",1,16
150,9,1,"F",0,6
155,4,0,"F",0,12
152,14,0,"B",0,8.25
150,1,0,"Missing",5,19
151,1,"Missing","B",0,19.75
151,11,1,"F",0,16.5
152,14,1,"W",0,10.25
152,6,1,"D",5,7.25
251,1,0,"B",3,0
155,1,0,"B",8,8
152,14,0,"B",2,15
155,4,0,"C",0,16
150,1,1,"Missing",0,6
150,13,0,"C",6,18
152,14,0,"C",0,14
151,6,0,"B",2,19.25
155,4,0,"B",3,12
150,13,1,"F",0,11
155,1,1,"B",11,11
155,4,1,"W",0,8
150,13,0,"A",0,23
151,6,0,"A",4,18.25
152,1,"Missing","C",0,9.25
155,1,0,"C",1,16
150,5,1,"C",2,16
152,1,"Missing","A",1,21.75
150,13,0,"C",3,16
152,14,0,"B",1,15.5
152,14,0,"B",0,8.5
151,6,0,"B",0,16
152,6,0,"D",0,0
150,9,"Missing","F",1,"Missing"
151,6,0,"B",9,16.25
152,6,0,"D",6,3.25
155,1,0,"C",3,16
155,4,0,"B",2,8
155,4,1,"F",0,14
155,4,"Missing","B",7,"Missing"
151,1,"Missing","C",0,21.25
251,1,0,"A",0,25
152,14,0,"B",2,12.25
152,14,1,"AUD",0,20.25
150,9,0,"C",2,11
151,1,"Missing","C",4,18
151,11,1,"W",0,14.5
155,1,0,"D",1,12
251,1,0,"A",0,13
155,4,0,"F",1,0
251,1,0,"D",1,10
155,1,0,"C",0,15
152,1,"Missing","A",1,12
150,13,0,"C",0,22
151,11,0,"A",6,9.75
152,6,"Missing","A",1,"Missing"
151,6,1,"W",0,9.75
151,11,0,"B",0,19
155,1,0,"B",0,17
152,14,0,"B",2,5.25
150,9,0,"B",12,19
251,1,0,"D",4,1
151,1,"Missing","D",5,20.75
152,1,"Missing","C",0,0
152,1,"Missing","B",1,15.25
151,1,"Missing","A",3,"Missing"
155,4,0,"B",10,15
150,9,0,"C",1,12
251,1,0,"A",1,19
155,1,0,"B",3,13
152,1,"Missing","B",0,6.5
152,6,0,"B",1,20.5
151,1,"Missing","D",0,22.5
155,1,0,"B",1,17
150,13,1,"F",0,15
155,4,0,"A",8,14
155,4,0,"Missing",2,7
251,1,0,"D",0,16
151,1,"Missing","D",0,12.25
151,6,0,"B",10,3.25
152,1,"Missing","B",1,17
155,1,1,"D",3,16
152,14,0,"D",4,19.75
151,1,"Missing","B",3,11.25
152,14,0,"A",0,16.75
150,1,0,"Missing",0,20
151,1,"Missing","C",0,17.5
151,6,1,"F",0,9
151,11,1,"F",2,17
155,1,0,"A",6,14
251,5,"Missing","B",1,19
151,11,1,"F",2,17
152,1,"Missing","B",1,13.25
152,14,0,"A",5,13.25
150,5,1,"W",0,0
155,4,1,"W",0,7
152,1,"Missing","B",0,10
151,6,1,"C",2,16
155,4,0,"F",2,0
152,14,0,"B",3,10.25
152,6,0,"B",15,11.25
151,1,"Missing","B",6,20.5
150,1,0,"Missing",2,17
152,14,1,"W",0,16
152,6,0,"B",4,7
155,4,0,"A",20,13
151,1,"Missing","B",0,24
155,1,0,"B",3,14
152,1,"Missing","A",26,14.5
152,1,"Missing","A",2,21.25
251,5,"Missing","A",2,3
152,14,0,"A",5,17.75
155,4,0,"D",1,16
152,14,0,"B",4,10
155,1,0,"C",0,16
152,1,"Missing","B",1,15.25
152,1,"Missing","A",0,15.25
152,1,"Missing","B",10,6
155,1,0,"D",2,13
155,4,0,"B",8,11
151,1,"Missing","B",1,19.25
251,1,0,"A",0,19
155,4,0,"C",2,10
251,1,0,"I",0,4
150,9,0,"C",3,19
150,5,1,"D",4,13
151,11,1,"W",4,9
150,5,"Missing","C",0,"Missing"
151,1,"Missing","W",9,5
151,11,1,"F",0,18.5
155,4,0,"C",2,14
152,6,0,"B",0,21
151,6,0,"A",0,22
152,14,1,"W",0,3.5
155,4,1,"F",0,13
152,14,0,"B",7,11
152,14,1,"F",0,11.75
151,6,"Missing","F",1,15.5
151,11,0,"A",5,7.75
151,1,"Missing","D",0,11
151,1,"Missing","B",8,21
150,9,1,"D",3,18
150,1,1,"Missing",0,17
151,11,1,"D",8,9.5
151,11,0,"C",2,9.5
151,1,"Missing","D",1,6
152,6,0,"A",2,19.75
155,1,0,"B",4,15
152,1,"Missing","C",1,7
155,4,0,"F",2,0
152,6,1,"W",3,7.75
251,1,0,"A",5,22
155,1,1,"W",6,12
150,5,1,"F",0,0
152,6,0,"D",4,9
155,4,0,"D",0,10
155,4,1,"W",3,7
152,6,0,"D",0,0
155,4,0,"C",0,14
151,1,"Missing","F",0,10.5
151,6,1,"F",1,11
155,1,0,"F",0,19
155,1,1,"F",1,9
155,1,0,"C",3,7
150,13,0,"C",4,19
155,4,0,"B",2,7
150,9,0,"B",1,17
152,6,0,"A",1,17.75
150,13,"Missing","D",1,"Missing"
150,9,0,"C",13,7
150,1,0,"Missing",3,3
151,6,0,"D",3,16.25
152,6,0,"Missing",6,6
251,1,0,"B",3,7
151,1,"Missing","W",2,18.5
155,4,0,"B",0,19
152,1,"Missing","A",1,13.75
150,5,1,"W",9,5
151,11,1,"F",0,15.25
150,13,0,"C",0,14
155,1,0,"W",0,15
151,6,1,"W",2,11.75
155,1,1,"W",0,7
152,6,0,"C",1,15
151,6,0,"C",14,12.75
152,14,0,"A",1,20.5
151,11,0,"D",1,18.25
155,1,1,"A",5,5
152,1,"Missing","B",1,7.75
251,1,0,"A",2,16
151,6,0,"A",5,16.5
150,1,1,"Missing",1,0
151,1,"Missing","C",0,11.5
152,14,0,"B",0,21.75
151,11,0,"A",0,24.75
150,1,0,"Missing",10,9
150,1,1,"Missing",4,21
150,1,0,"Missing",0,19
150,13,0,"C",4,19
152,14,0,"B",0,16.75
152,6,0,"B",1,13.25
152,6,1,"F",0,9.5
251,5,"Missing","B",4,10
151,11,0,"D",5,21.75
151,11,0,"B",0,7.5
152,14,0,"F",1,9.75
152,6,0,"B",0,11.75
155,1,0,"C",1,15
155,4,0,"D",4,13
151,6,0,"B",18,10
151,11,1,"C",11,8
251,5,"Missing","C",0,0
155,4,"Missing","C",5,"Missing"
151,11,0,"A",6,16
151,11,1,"F",1,5
150,1,0,"Missing",5,11
151,1,"Missing","C",0,15.5
152,1,"Missing","A",3,9
151,1,"Missing","F",3,19
155,4,0,"C",2,9
150,5,0,"A",3,15
152,1,"Missing","B",0,14.5
155,1,0,"W",0,17
150,5,0,"A",0,22
151,1,"Missing","W",0,19
155,4,0,"C",0,0
151,1,"Missing","A",11,15.75
155,1,0,"A",4,14
152,14,0,"B",0,13
152,14,0,"D",12,5.75
155,1,0,"F",0,0
152,1,"Missing","D",0,"Missing"
152,1,"Missing","A",3,11.25
152,14,0,"B",0,11.25
152,6,0,"D",3,6.5
155,1,0,"B",2,16
152,1,"Missing","B",0,21
152,1,"Missing","B",2,17
155,4,0,"D",0,10
155,1,0,"W",0,0
151,11,0,"D",1,19
155,1,0,"A",9,14
151,6,0,"A",3,14
152,1,"Missing","B",5,13.25
152,6,1,"F",3,9.25
151,6,0,"B",3,14.75
155,4,0,"F",0,0
150,13,0,"C",8,14
150,9,0,"A",2,19
